gas_id,target_batch,model,budget,n_reference,n_test,residual_df,panel_targets,panel_predictions,extreme_true_gap,extreme_pred_gap,extreme_gap_ratio,panel_rank_agreement,panel_pearson_r,panel_residual_rmse,calibrator_slope,calibrator_intercept,frozen_nrmse,light_nrmse,ratio,window_set
CO,4,pls,2,2,201,0,"0.6, 4.1","0.648, 3.371",3.4999999999999996,2.723578695936806,0.7781653416962303,1.0,1.0,7.850462293418876e-17,1.285073937911728,-0.23227629029142616,0.05838235202647815,0.08865866124749211,1.5185866648072477,fit
CO,4,random_forest,2,2,201,0,"0.6, 4.1","0.738, 3.890",3.4999999999999996,3.151500000000005,0.9004285714285729,1.0,1.0,1.5700924586837752e-16,1.1105822624147215,-0.22016500079327184,0.05468793442593043,0.06143344459506657,1.1233454918337114,fit
CO,4,xgboost,2,2,201,0,"0.6, 4.1","0.636, 3.685",3.4999999999999996,3.0489339232444763,0.8711239780698505,1.0,1.0,8.881784197001252e-16,1.1479422277133269,-0.13051627284098277,0.05684906063685379,0.08025260196334814,1.4116785935302234,fit
CO,5,pls,2,2,139,0,"0.4, 3.8","0.353, 2.789",3.4,2.4362724994392466,0.7165507351291902,1.0,1.0,6.672892949406044e-16,1.3955745922439184,-0.09219882919398259,0.08221747214460884,0.14694568097103505,1.7872804543610694,fit
CO,5,random_forest,2,2,139,0,"0.4, 3.8","0.454, 3.203",3.4,2.748999999999999,0.8085294117647057,1.0,0.9999999999999998,5.026748538604307e-16,1.2368133866860676,-0.1621316842488163,0.07339079882735973,0.1104075262555809,1.5043783147162244,fit
CO,5,xgboost,2,2,139,0,"0.4, 3.8","0.536, 3.090",3.4,2.554113805294037,0.7512099427335402,1.0,1.0,7.731808680624463e-16,1.331185788570835,-0.31319353967647556,0.06901079027550669,0.11051434033538124,1.6014066770454733,fit
CO,6,pls,2,2,134,0,"0.5, 3.5","0.117, 3.464",3.0,3.3467126005277645,1.115570866842588,1.0,1.0,7.850462293418876e-17,0.8964020392808485,0.39519057752907827,0.06155537155623999,0.0641607720107493,1.0423261266830124,fit
CO,6,random_forest,2,2,134,0,"0.5, 3.5","0.451, 3.859",3.0,3.4070000000000014,1.135666666666667,1.0,1.0,6.329245045284193e-16,0.8805400645729373,0.10243616084531904,0.04761807771896755,0.04793276596170256,1.0066085877004998,fit
CO,6,xgboost,2,2,134,0,"0.5, 3.5","0.375, 3.859",3.0,3.4837470948696136,1.1612490316232045,1.0,1.0,0.0,0.8611417299545049,0.17709143291695884,0.052885421736398215,0.05375743670619218,1.0164887589275629,fit
CO,7,pls,2,2,139,0,"0.6, 6.1","0.820, 4.726",5.5,3.906228561426351,0.7102233748047911,1.0,0.9999999999999999,7.065416064076988e-16,1.4080077275334055,-0.554173470282628,0.08577101362679913,0.10367139046481327,1.2086996070245948,fit
