strategy,budget,n_cells,mean_nrmse,median_nrmse,mean_ratio,median_ratio,max_ratio,cells_gt2,cells_improved,cells_negative_slope
frozen,0,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
frozen,2,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
frozen,3,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
frozen,4,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
frozen,5,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
frozen,6,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
frozen,8,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
frozen,10,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
frozen,20,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
frozen,50,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
calibrator_update,0,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
calibrator_update,2,90,0.29585136650201976,0.14442162849950055,2.0054176690205767,1.0087529477402106,44.52894440066961,8,44,3
calibrator_update,3,90,0.15913260084625117,0.1416070916843124,1.0350160958200678,0.9921764265870794,2.1649857821362835,4,45,0
calibrator_update,4,90,0.13608176652283324,0.13060671578443225,0.9056423769295895,0.8991480893407764,1.9560090655252012,0,55,0
calibrator_update,5,90,0.12929705785615392,0.12631286913534526,0.8767996385619499,0.8571667987920898,1.958975933524524,0,59,0
calibrator_update,6,90,0.12217979085491651,0.12035664159270246,0.8414734213690295,0.8576849237371268,1.882987462864169,0,61,0
calibrator_update,8,90,0.11445756785565576,0.11292974693912665,0.7925835814917848,0.8371233170330576,1.3758083296752788,0,62,0
calibrator_update,10,90,0.1122323403376382,0.10970932759371325,0.7787488703207616,0.8259027354379687,1.2982601002062115,0,63,0
calibrator_update,20,90,0.10856819035974434,0.10733373183457004,0.7571358090305611,0.8338342920208052,1.6352341475402539,0,70,0
calibrator_update,50,90,0.10563463144574074,0.1066459764670971,0.7290911168133345,0.8163221524127492,1.159834341034789,0,83,0
target_finetune,0,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0,0,0,0
target_finetune,2,90,0.45609092361882136,0.20575129541681103,2.3288638626963936,1.6045810610035693,40.48208532290668,35,26,3
target_finetune,3,90,0.20231224437031872,0.18214320469703377,1.4805384268545554,1.2980407893902473,4.7343736272212,25,32,0
target_finetune,4,90,0.1775507421147601,0.16556301576982235,1.287298860731078,1.1121330297796883,3.73683439729368,12,37,0
target_finetune,5,90,0.1596027506507603,0.15336779968865485,1.1612526113607518,1.0622437016405095,3.3665098412781362,7,41,0
target_finetune,6,90,0.14546283761749382,0.14323990069014553,1.040004436688842,0.995456828227629,2.755660679681733,5,46,0
target_finetune,8,90,0.1316076589845452,0.12585492585409205,0.9260230908049095,0.9361945000983887,1.956292816278127,0,51,0
target_finetune,10,90,0.12449957570168992,0.11906145715185634,0.8795613332792562,0.9151951244024955,1.8226628501796125,0,55,0
target_finetune,20,90,0.11430860424559472,0.11436025868680666,0.8186001261838202,0.8772542410333071,1.564730780200698,0,61,0
target_finetune,50,90,0.10265486552473906,0.10214614759838639,0.7369514101867547,0.8090955314858801,1.416569513521129,0,70,0
full_retrain,0,90,0.18413773570410366,0.132693992648804,1.0,1.0,1.0000000000000009,0,9,0
full_retrain,2,90,0.17326179111116677,0.1315480472809937,0.9627423040321478,0.9905872672516551,1.0369741293254298,0,73,0
full_retrain,3,90,0.17214799484832755,0.12989765392903063,0.9583342725832084,0.988693173785518,1.0272758197131737,0,73,0
full_retrain,4,90,0.167563519914095,0.12755623885537085,0.9414051062123086,0.970933138557465,1.0360060034744085,0,76,0
full_retrain,5,90,0.1659878046204358,0.1270256363683493,0.935187138413126,0.9690242595594063,1.0353657002980232,0,77,0
full_retrain,6,90,0.15998992649604094,0.1273464256907425,0.9147849610053498,0.9603699082425103,1.0391189788982684,0,80,0
full_retrain,8,90,0.156349858263524,0.12851635924635535,0.9029297587463914,0.954902940775334,1.0532236536746533,0,83,0
full_retrain,10,90,0.153251137013039,0.12690862758767765,0.8909912247059465,0.9473363380490438,1.0583912009631136,0,82,0
full_retrain,20,90,0.140061130675915,0.1250462928666288,0.8469270928326535,0.9203425941668462,1.1096984302626074,0,82,0
full_retrain,50,90,0.12257114535936449,0.11332699135820071,0.7820077751215541,0.8685082931285604,1.171061314938569,0,84,0
