gas_id,target_batch,n_rows,n_distinct_targets,target_min,target_max,target_range,target_mean,target_median,target_std,target_skew,target_iqr
CO,4,672,54,0.2,6.4,6.2,1.9425595238095237,1.8,1.1472787719880109,0.7501287232486491,1.6
CO,5,460,50,0.1,5.1,5.0,1.6436956521739128,1.5,1.0356938223543541,0.9134605311672478,1.4000000000000001
CO,6,449,40,0.3,5.8,5.5,1.36369710467706,1.3,0.7690414122554909,2.0215928931440654,0.8999999999999999
CO,7,466,63,0.2,7.5,7.3,2.265665236051502,2.0,1.4707840376960708,0.9502134900016753,2.0
CO,8,478,72,0.4,9.5,9.1,2.8050209205020926,2.6,1.729148279687523,1.1145158628107683,2.2750000000000004
CO,9,688,82,0.1,11.9,11.8,2.6656976744186047,2.25,1.9007737890811858,1.303186782662535,2.425
CO,10,493,69,0.2,9.9,9.700000000000001,2.445030425963489,2.1,1.541973925353718,1.3772826450657514,1.9000000000000001
CO,11,637,64,0.1,8.7,8.6,2.19309262166405,1.8,1.4966890122097423,0.960385444256552,2.1
CO,12,635,58,0.2,6.7,6.5,1.8938582677165352,1.6,1.148175103461293,1.2087390544119185,1.4
CO,13,696,67,0.1,7.5,7.4,1.9573275862068964,1.6,1.371898138567442,1.2974158856063083,1.6
NO2,4,652,169,16.0,233.0,217.0,103.57055214723927,103.0,40.899632773229,0.34411661066301447,61.25
NO2,5,655,160,5.0,206.0,201.0,98.6473282442748,97.0,38.38130623008106,0.2465485045913859,55.0
NO2,6,362,106,5.0,171.0,166.0,65.97513812154696,64.0,26.859167757772195,0.5973547386487161,34.75
NO2,7,428,166,2.0,225.0,223.0,108.46028037383178,107.0,46.56551690674549,0.16454060051362387,65.75
NO2,8,479,132,29.0,194.0,165.0,89.52400835073068,87.0,32.95233891496107,0.5571523532316406,48.0
NO2,9,658,208,13.0,288.0,275.0,126.02431610942249,121.0,52.579628833351826,0.34301312893120944,75.0
NO2,10,478,158,27.0,269.0,242.0,122.99372384937239,119.0,40.43233292098064,0.34150032611539144,49.0
NO2,11,672,200,17.0,333.0,316.0,137.93303571428572,136.0,49.34093179937239,0.2711133840038021,60.0
NO2,12,615,210,25.0,310.0,285.0,154.17235772357725,153.0,54.48404317820461,0.10205998656284372,76.0
NO2,13,710,191,29.0,248.0,219.0,132.29859154929576,130.0,45.65292963117588,0.23490198920385025,65.75
NOx,4,653,250,9.0,392.0,383.0,132.08422664624808,117.0,82.43400751132994,0.8469929580455337,109.0
NOx,5,656,243,2.0,427.0,425.0,115.3810975609756,98.5,74.6506850063902,1.1974223444584238,91.0
NOx,6,363,148,6.0,487.0,481.0,82.41046831955923,62.0,72.99129290804352,2.7100520128691588,48.0
NOx,7,428,297,19.0,891.0,872.0,286.20093457943926,259.0,175.66440433378696,0.7143700747403412,250.25
NOx,8,479,344,33.0,1052.0,1019.0,350.71189979123176,323.0,196.69285702470805,0.6923381774243228,295.0
NOx,9,658,478,13.0,1389.0,1376.0,436.2705167173252,362.0,298.5786875270817,0.8681346208355166,397.75
NOx,10,478,340,31.0,1479.0,1448.0,354.51673640167365,322.5,210.6038008565813,1.2410394568316896,255.5
NOx,11,672,452,17.0,1230.0,1213.0,362.9002976190476,288.5,248.99222307817874,0.9684654867479094,335.5
NOx,12,615,375,25.0,980.0,955.0,290.7967479674797,252.0,177.62701833935677,1.2105793787125352,214.0
NOx,13,710,414,30.0,900.0,870.0,291.07887323943663,240.5,183.51962337128785,1.0404055551374194,221.5
