tau,n_cells,n_recalibrate,always_frozen,always_recalibrate,rule,oracle_action,undecidable_cells,decision_budget,margin_vs_frozen,margin_vs_recalibrate
0.1,54,47,0.1460732539962162,0.3712260562374983,0.37090620531768254,0.1247259216385175,0,2,-0.22483295132146633,0.0003198509198157895
0.2,54,46,0.1460732539962162,0.3712260562374983,0.3708579571611175,0.1247259216385175,0,2,-0.22478470316490132,0.0003680990763808012
0.3,54,43,0.1460732539962162,0.3712260562374983,0.37023243496646596,0.1247259216385175,0,2,-0.22415918097024976,0.0009936212710323633
0.5,54,41,0.1460732539962162,0.3712260562374983,0.36989560795438114,0.1247259216385175,0,2,-0.22382235395816494,0.0013304482831171804
0.75,54,37,0.1460732539962162,0.3712260562374983,0.3696985560372414,0.1247259216385175,0,2,-0.22362530204102518,0.0015275002002569371
1.0,54,32,0.1460732539962162,0.3712260562374983,0.3685747807896143,0.1247259216385175,0,2,-0.2225015267933981,0.002651275447884016
0.1,54,45,0.1460732539962162,0.12017399619960492,0.11911986648549933,0.1086964732580157,0,5,0.02695338751071688,0.001054129714105595
0.2,54,44,0.1460732539962162,0.12017399619960492,0.11933391275622804,0.1086964732580157,0,5,0.026739341239988168,0.0008400834433768822
0.3,54,41,0.1460732539962162,0.12017399619960492,0.11924118134807739,0.1086964732580157,0,5,0.02683207264813882,0.0009328148515275331
0.5,54,35,0.1460732539962162,0.12017399619960492,0.11984624318980294,0.1086964732580157,0,5,0.026227010806413265,0.00032775300980197875
0.75,54,31,0.1460732539962162,0.12017399619960492,0.11838935539547292,0.1086964732580157,0,5,0.027683898600743287,0.001784640804132001
1.0,54,27,0.1460732539962162,0.12017399619960492,0.11918080578556954,0.1086964732580157,0,5,0.026892448210646666,0.0009931904140353803
0.1,54,45,0.1460732539962162,0.10544640237097037,0.10474898330687177,0.10127867933505813,0,10,0.04132427068934444,0.0006974190640986061
0.2,54,42,0.1460732539962162,0.10544640237097037,0.10495144033023375,0.10127867933505813,0,10,0.04112181366598246,0.000494962040736624
0.3,54,39,0.1460732539962162,0.10544640237097037,0.10429417535602621,0.10127867933505813,0,10,0.041779078640189996,0.0011522270149441627
0.5,54,32,0.1460732539962162,0.10544640237097037,0.10569842777273415,0.10127867933505813,0,10,0.040374826223482055,-0.00025202540176377797
0.75,54,26,0.1460732539962162,0.10544640237097037,0.10636551249491537,0.10127867933505813,0,10,0.03970774150130084,-0.0009191101239449939
1.0,54,18,0.1460732539962162,0.10544640237097037,0.1073526926123732,0.10127867933505813,0,10,0.038720561383843013,-0.0019062902414028193
0.1,54,46,0.1460732539962162,0.10252644954698421,0.10172711681764535,0.0999462466432358,0,20,0.04434613717857086,0.0007993327293388669
0.2,54,39,0.1460732539962162,0.10252644954698421,0.10311991092775823,0.0999462466432358,0,20,0.04295334306845798,-0.000593461380774013
0.3,54,37,0.1460732539962162,0.10252644954698421,0.10377913981201592,0.0999462466432358,0,20,0.04229411418420029,-0.0012526902650317057
0.5,54,26,0.1460732539962162,0.10252644954698421,0.10516869733028855,0.0999462466432358,0,20,0.040904556665927655,-0.0026422477833043384
0.75,54,21,0.1460732539962162,0.10252644954698421,0.10624422641296162,0.0999462466432358,0,20,0.039829027583254586,-0.003717776865977407
1.0,54,17,0.1460732539962162,0.10252644954698421,0.10816430480273062,0.0999462466432358,0,20,0.037908949193485586,-0.005637855255746407
