seed,budget,n_cells,mean_ratio,median_ratio,max_ratio,cells_gt2,cells_negative_slope,mean_nrmse
20260826,0,90,1.0,1.0,1.0,0,0,0.18413773570410366
20260826,2,90,2.0054176690205767,1.0087529477402106,44.52894440066961,8,3,0.29585136650201976
20260826,3,90,1.0350160958200678,0.9921764265870794,2.1649857821362835,4,0,0.15913260084625117
20260826,4,90,0.9056423769295895,0.8991480893407764,1.9560090655252012,0,0,0.13608176652283324
20260826,5,90,0.8767996385619499,0.8571667987920898,1.958975933524524,0,0,0.12929705785615392
20260826,6,90,0.8414734213690295,0.8576849237371268,1.882987462864169,0,0,0.12217979085491651
20260826,8,90,0.7925835814917848,0.8371233170330576,1.3758083296752788,0,0,0.11445756785565576
20260826,10,90,0.7787488703207616,0.8259027354379687,1.2982601002062115,0,0,0.1122323403376382
20260826,20,90,0.7571358090305611,0.8338342920208052,1.6352341475402539,0,0,0.10856819035974434
20260826,50,90,0.7290911168133345,0.8163221524127492,1.159834341034789,0,0,0.10563463144574074
11,0,90,1.0,1.0,1.0000000000000009,0,0,0.1855721178579916
11,2,90,1.00882940624177,1.022459583510411,2.4885908747490966,2,0,0.1562506060307746
11,3,90,0.9533627069376297,0.9606990812745508,2.383272077464393,2,0,0.14725792767812546
11,4,90,0.9066265680431222,0.9303474587867522,2.021721448503625,1,0,0.13483764039688176
11,5,90,0.8678826489141815,0.885196231260868,2.012521144344867,1,0,0.1289997363784911
11,6,90,0.8342124350465769,0.8569020715388915,1.7318124097208387,0,0,0.12509260037946102
11,8,90,0.7949712781566567,0.8522318839073398,1.5816340309357921,0,0,0.11938952673708333
11,10,90,0.7588934179763902,0.8351426390924126,1.2185329428248788,0,0,0.11430955073782144
11,20,90,0.7395964583569824,0.8282643701957226,1.0949498084535096,0,0,0.11010475876012008
11,50,90,0.7213336980349042,0.8133543263405222,1.0324937129367668,0,0,0.10666848887581584
22,0,90,1.0,1.0,1.0,0,0,0.18488665385363487
22,2,90,1.0562567678927344,1.0279054733736923,2.2483115878912594,1,0,0.16116735152068296
22,3,90,0.9983420826455107,0.9680437037151866,2.2745838273498786,1,0,0.15172259608161606
22,4,90,0.8751306715935064,0.9222817362089393,1.8446846632522047,0,0,0.1301239398734534
22,5,90,0.8395785854243795,0.900054380562689,1.8530129140762683,0,0,0.12352348052835486
22,6,90,0.8028608515910877,0.87844608196884,1.4222201089122133,0,0,0.11796660795668451
22,8,90,0.7750022495109615,0.8646951087376464,1.377090270523008,0,0,0.11405469567815645
22,10,90,0.7666912154879564,0.850684371142685,1.2820127508344847,0,0,0.11241502717450068
22,20,90,0.7468401578163224,0.827587555396217,1.1376899465091561,0,0,0.1095862342150208
22,50,90,0.7278376042279384,0.8059708366212668,1.1175286226472063,0,0,0.10698236129474598
33,0,90,1.0,1.0,1.0,0,0,0.1840476009006877
33,2,90,1.0842464285615077,0.9793096913123103,3.344332528798861,6,0,0.1587017843531241
33,3,90,1.0249398178626752,0.9337226844162129,3.424217622714175,3,0,0.1493155411305825
33,4,90,0.9494157450775883,0.9502468111372122,2.4692758834261492,3,0,0.1407627502213363
33,5,90,0.9205295757217454,0.9371002472454963,2.4664304434838082,2,0,0.13555693881500333
33,6,90,0.8653665293550757,0.8844796412856912,2.396443603486349,1,0,0.1278666073056476
33,8,90,0.8218559570252999,0.8449628974588618,2.2151292185679465,1,0,0.11952538591189613
33,10,90,0.8050907516550854,0.8456141335765688,2.2129009199850884,1,0,0.11707655613201877
33,20,90,0.7472935812173841,0.8304881306116108,1.3161099044659332,0,0,0.11104246832347492
33,50,90,0.7259178552224331,0.8011104713489072,1.128201064198993,0,0,0.10722173968074561
44,0,90,1.0,1.0,1.0,0,0,0.18536991159699434
44,2,90,1.1191985870036345,1.0554484135445679,4.617487171172715,7,0,0.16364069659944538
44,3,90,1.0783047435206743,1.0253748107278888,4.683312872608457,5,0,0.15721163106791242
44,4,90,0.9592008064111446,0.9574824732862046,4.543342455790382,4,0,0.13924432216540006
44,5,90,0.9348507297096103,0.9366646174348672,4.601150880173083,4,0,0.135616534961917
44,6,90,0.8631234023056551,0.8323667527554366,3.529238462987234,3,0,0.12343934818501535
44,8,90,0.8153176825842924,0.8284505620850289,3.125993490637447,2,0,0.11650299012057024
44,10,90,0.7977820878826789,0.8435877529372708,2.633223232614993,2,0,0.11414158212289108
44,20,90,0.750323397778586,0.8038153582749019,1.34690218950061,0,0,0.10946133105957392
44,50,90,0.728537302362708,0.7751427197500408,1.1895989722962041,0,0,0.10666402441772495
55,0,90,1.0,1.0,1.000000000000001,0,0,0.18115127177695764
55,2,90,0.9787875042266694,0.9642118527173401,2.30550926495976,3,0,0.14511681030698156
55,3,90,0.9276358715168646,0.9572646033488713,2.454982633342442,2,0,0.13879141415197976
55,4,90,0.8437460759038866,0.8852019466594664,1.6514754914810084,0,0,0.1272336707300678
55,5,90,0.8385326784067377,0.9144082635682718,1.6381890469558273,0,0,0.1246901079762547
55,6,90,0.7847104965487728,0.8468490450768651,1.365397633017529,0,0,0.11439678074532815
55,8,90,0.7698108553869455,0.8301834209105909,1.2808500177858282,0,0,0.1118377540610295
55,10,90,0.7553945225628053,0.8247687341914445,1.2648032435060288,0,0,0.10872395063648861
55,20,90,0.7317039691125217,0.7954370179146513,1.1680864181395667,0,0,0.10407246362481953
55,50,90,0.7237150589840571,0.7925855679990941,1.0858178029591128,0,0,0.10279577382888484
66,0,90,1.0,1.0,1.0,0,0,0.18500503422182651
66,2,90,1.1490583493508237,1.0939598476686463,2.6041410767100897,7,0,0.17546631209831748
66,3,90,1.0580293818896855,1.0247582956266368,2.1942355563194833,4,0,0.16442706570266347
66,4,90,0.8923918675078898,0.9076741596419645,1.9800769242584813,0,0,0.13070476364051156
66,5,90,0.870143059430418,0.8867056360702226,1.984585865985925,0,0,0.12706270681582266
66,6,90,0.8539573640894087,0.8770786246195514,1.7667684838202844,0,0,0.12205563166498302
66,8,90,0.8095025156031459,0.8503444580141185,1.6724046028129862,0,0,0.11665272406095174
66,10,90,0.7876707168227784,0.8203578351129185,1.6556487838311293,0,0,0.1133583453761042
66,20,90,0.7557579408389555,0.8154884820210782,1.3624924165558374,0,0,0.11008236391186317
66,50,90,0.7323515288082324,0.7862008052793641,1.2290842315462756,0,0,0.10717188611294927
77,0,90,1.0,1.0,1.0,0,0,0.186682184298634
77,2,90,1.08324705336769,1.0370712049830093,3.353949383140632,2,0,0.17397998731463327
77,3,90,1.0394102333578235,0.9956327659166555,3.3009322827160825,2,0,0.1638889243228732
77,4,90,0.9130336707984413,0.9412769575591724,2.058632216274609,1,0,0.14242543362924004
77,5,90,0.8858248009935143,0.9354360345718592,1.9050259498969835,0,0,0.13869177661293589
77,6,90,0.8631744563461405,0.9297667056052307,1.9422234632275108,0,0,0.13208501962169364
77,8,90,0.8096252258750801,0.8735241341988194,1.4532714144469407,0,0,0.1212683335662495
77,10,90,0.7877521684799887,0.8476647302074936,1.4620569033647748,0,0,0.11665619383122112
77,20,90,0.7368584362119219,0.7985626009458027,1.0973228498029575,0,0,0.10937895258202168
77,50,90,0.7193883353794254,0.7816123909373851,1.0398298447095116,0,0,0.1062404400512034
88,0,90,1.0,1.0,1.0,0,0,0.18088154160960188
88,2,90,1.075621112597113,0.9995124455248905,2.9042249831439717,6,0,0.1628075548089806
88,3,90,0.9722194785981175,0.9822358946129157,2.3245584859413637,1,0,0.15069913906647764
88,4,90,0.9004386085679553,0.9312103031574648,2.436489329052752,1,0,0.13262158761694517
88,5,90,0.8713243040652736,0.9080506192896789,2.5518816192638516,1,0,0.1272697094469754
88,6,90,0.8380867433073728,0.8532544472109969,2.1658521043803094,1,0,0.11981376758160144
88,8,90,0.7990695119439716,0.8347363129505821,1.640169320568276,0,0,0.11379865002177894
88,10,90,0.7692540490551042,0.8182669868086838,1.3349261842661129,0,0,0.11055097961736773
88,20,90,0.7491164011624843,0.7833067613751423,1.2345957498907154,0,0,0.10768033535167017
88,50,90,0.7320419286005121,0.7889772869688583,1.0462657274773102,0,0,0.10588876219063054
99,0,90,1.0,1.0,1.0,0,0,0.18454153216110428
99,2,90,1.1264286649336372,1.0526143603184328,2.8486274583657485,6,0,0.17265689891669553
99,3,90,1.032654444732363,1.0096800169136146,2.634268968937825,1,0,0.15752476687710787
99,4,90,0.9298005912121634,0.9837986635559444,1.8466687256479164,0,0,0.13851071341726268
99,5,90,0.8966220419521042,0.9682133912005116,1.7654206265257855,0,0,0.13324304349735153
99,6,90,0.8627339170651194,0.9377915476092376,1.8063465000573362,0,0,0.1287996567124958
